"","Program","Year","Period","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Fruit","Operation","Product Type","Product Details","Domain","Chemical_Info","Chemical_Product_Number","Value","CV (%)","Measurement","Acre_Info","Organic_Status","Fertilizer_Status"
"1","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"BULLOCK",11,"STRAWBERRIES","ACRES BEARING",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"2","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"BULLOCK",11,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,3,15.7,NA,NA,NA,NA
"3","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"BULLOCK",11,"STRAWBERRIES","ACRES NON-BEARING",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"4","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"BULLOCK",11,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL",NA,NA,1,0.05,NA,NA,NA,NA
"5","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"BULLOCK",11,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,6,52.7,NA,NA,NA,NA
"6","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"BULLOCK",11,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,NA,"TOTAL",NA,NA,5,47.6,NA,NA,NA,NA
"7","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"MONTGOMERY",101,"STRAWBERRIES","ACRES BEARING",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"8","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"MONTGOMERY",101,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"9","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"MONTGOMERY",101,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL",NA,NA,2,55.7,NA,NA,NA,NA
"10","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"MONTGOMERY",101,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,2,52.7,NA,NA,NA,NA
